area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
,Aparcadero,"**Apartamento en Venta y Arriendo en el Norte de la Ciudad - Barrio Las Quintas**Descubre esta excelente oportunidad de venta y alquiler de un hermoso apartamento en el barrio Las Quintas, ubicado en el norte de la ciudad, justo en frente del campus de la Universidad Santo Tomas. Con un área de 68.3 m², este apartamento cuenta con acabados de calidad y un diseño pensado para brindar comodidad y funcionalidad.El apartamento incluye una cocina integral con una elegante barra, una zona de ropas para tus tareas diarias, y una luminosa sala comedor. Además, consta de dos habitaciones, siendo la principal con baño privado para tu mayor comodidad. La segunda habitación tiene un hermoso balcón para disfrutar del aire fresco. También dispone de un baño adicional para visitantes o para la segunda habitación.Este apartamento viene completo con su propio parqueadero, lo que agrega un valor adicional. Si buscas un lugar con excelente ubicación y acabados de calidad!",,2 baños,,"$ 310.000.000
                        ",Apartamento,Compra,APARTAMENTO en ARRIENDO/VENTA en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos Inmobiliaria - Casa para Estrenar en Las QuintasPresentamos una oportunidad única para adquirir una casa para estrenar en el prestigioso barrio Las Quintas, ubicado al norte de la ciudad. Esta casa, situada en un sector que combina lo residencial con lo comercial, ofrece un espacio moderno y funcional distribuido en tres niveles.Características Destacadas:Diseño Moderno: La casa presenta un diseño moderno y espacioso, con amplias áreas de sala, comedor y cocina integral, perfectas para la vida en familia.Tres Niveles: Con tres niveles, la casa ofrece una distribución eficiente del espacio. Encontrarás dos habitaciones en el nivel superior y la habitación principal con baño privado y balcón.Terraza Soleada: La joya de esta propiedad es su hermosa terraza, ideal para disfrutar del sol por la tarde y organizar reuniones al aire libre.Ubicada en una zona de alta demanda, esta casa no solo ofrece una vida cómoda sino también la promesa de una excelente inversión.",,3 baños,,"$ 390.000.000
                        ",Casa,Compra,CASA en VENTA en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,,"¡Gran oportunidad de inversión! Tenemos disponible para la venta un amplio lote en el norte de la ciudad, con un área de 27030 m2. Este lote se encuentra ubicado estratégicamente sobre una de las vías principales, lo que le otorga una excelente visibilidad y accesibilidad.El lote cuenta con usos permitidos para residencial comercio, industria y dotacional, lo que brinda una amplia gama de posibilidades para desarrollar proyectos en este espacio. Se pueden construir tanto bodegas comerciales e industriales, como también iglesias, colegios, IPS, centros comerciales y otros establecimientos.Esta versatilidad de usos hace que el lote sea una opción atractiva tanto para inversores comerciales como para aquellos que buscan establecer desarrollo de un proyecto de vivienda, instituciones educativas, de salud o de entretenimiento.Si estás buscando una oportunidad de inversión versátil en un lote con amplio potencial, no dudes en contactarnos para obtener más información y detalles",,,,"$ 7.500.000.000
                        ",Lote,Compra,LOTE en VENTA en Tunja NORTE,"Boyacá, Tunja, Tunja"
,,"Apartaestudio en el Centro Histórico: Oportunidad de Arriendo o VentaEste apartaestudio ofrece una fantástica oportunidad tanto para arriendo como para venta en el corazón del centro histórico. Con una distribución que incluye una habitación, sala comedor y un baño, en un espacio total de 23.47 m², esta propiedad es perfecta para quienes buscan vivir en una ubicación central y disfrutar de la riqueza cultural que ofrece la ciudad.Su estratégica ubicación te permite estar cerca de los lugares emblemáticos de la ciudad, lo que brinda la conveniencia de explorar la historia y la vida urbana a tu alrededor. Si este apartaestudio cumple con tus necesidades y deseas obtener más información o coordinar una visita, te recomendamos comunicarte con el anunciante para conocer los detalles del alquiler o la venta. No dejes pasar esta oportunidad en el centro histórico de la ciudad.",,,,"$ 100.000.000
                        ",Apartamento,Compra,APARTAESTUDIO en VENTA en Tunja CENTRO,"Boyacá, Tunja, Tunja"
,,"VENDO LOTE DE TERRENO UBICADO AL SUR- ORIENTE DE TUNJA, CERCA A TERMINAL NUEVO, VARIANTE DE TUNJA, SALIDA PARA BOGOTA, PARQUEADERO DE LA POLICIA, BARRIO COOSERVICIOS, ALTOS DE COOSERVICIOS, VARIAS  VIAS DE ACCESO, BUEN SERVICIO DE TRANSPORTE, PARADERO DE BUSES RELATIVAMENTE CERCA, SECTOR DE AMPLIO DESARROLLO Y VALORIZACIÓN.

Lote con disponibilidad de servicios publicos, el uso de suelos le permite construir vivienda hasta cinco pisos.
Área del lote: 116.41mts2
(6 X 19.4)
Estrato: 3
Valor venta: $150.000.000
CONTACTO: ",3,,,"$ 150.000.000
                        ",Lote,Compra,"VENDO LOTE EN ALTOS DE COOSERVICIOS, TUNJA","Carrera 1 E, Cooservicios, Tunja, Boyacá, COL"
,,"Construye tu hogar en el prestigioso conjunto residencial Villa Trinidad, con este lote de 91 m2 ubicado cerca del centro comercial Viva. Disfruta de la comodidad de vivir en una zona con todos los servicios básicos de agua, luz, gas y alcantarillado, lo que te permitirá construir tu casa de manera rápida y sencilla. Además, el terreno es firme, lo que significa que no necesitarás una placa flotante para construir. El conjunto cuenta con seguridad privada las 24 horas, canchas de baloncesto, salón social, parque infantil y amplias zonas verdes, lo que garantiza la tranquilidad y el bienestar de tu familia. Y lo mejor de todo, el precio es negociable, lo que lo convierte en una excelente oportunidad de inversión. ¡No pierdas más tiempo y contáctanos ahora para conocer todos los detalles y agendar una visita!",,,,"$ 116.000.000
                        ",Lote,Compra,LOTE en VENTA en Tunja VILLA TRINIDAD,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos Inmobiliaria tiene disponible para la venta un apartamento en el séptimo piso, ubicado cerca del centro comercial Unicentro. Este apartamento cuenta con un área de 87 m² y ofrece una distribución que incluye sala comedor, cocina integral, zona de ropas, tres habitaciones, dos baños, dos balcones y parqueadero. Además, forma parte de un conjunto cerrado que brinda comodidad y seguridad. Si estás interesado en adquirir esta propiedad en una ubicación conveniente, te invitamos a ponerte en contacto con Atos Inmobiliaria para obtener más detalles y programar una visita. Esta podría ser una excelente oportunidad para quienes buscan un espacio residencial cerca de servicios y comercios en la ciudad.",,2 baños,,"$ 340.000.000
                        ",Apartamento,Compra,APARTAMENTO en VENTA en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria Ofrece Consultorio en Edificio Colón, Frente al Hospital San RafaelTe presentamos esta excelente oportunidad de arriendo o venta de un consultorio ubicado en el Edificio Colón, en Las Nieves, justo frente al Hospital Universitario San Rafael. Este consultorio es ideal para profesionales de la salud que desean una ubicación estratégica en el corazón médico de la ciudad.Características Destacadas:Ubicación Estratégica: Al estar frente al Hospital San Rafael, tendrás un fácil acceso a un importante centro médico en la ciudad.Espacio Funcional: Este consultorio está diseñado para brindar comodidad y funcionalidad en tu práctica médica.Baño Privado: Ofrece la conveniencia de un baño privado dentro del consultorio.Ya sea que estés buscando alquilar o comprar, este consultorio puede ser la base perfecta para tu práctica médica. ¡Contáctanos hoy para obtener más información y programar una visita!",,,1 baño,"$ 120.000.000
                        ",Local comercial,Compra,CONSULTORIO en ARRIENDO/VENTA en Tunja LAS NIEVES,"Boyacá, Tunja, Tunja"
42 m²,"Cocina integral,Gas natural,Tanque de agua,Agua","VENDO APARTAESTUDIO EN EL SECTOR DE LAS NIEVES, SOBRE LA AVENIDA MALDONADO, CERCA DE EL CENTRO HISTORICO DE TUNJA. COLEGIO SALECIANO, PLAZOLETA DE LAS NIEVES.

El apartaestudio esta en el piso 3°, el edificio cuenta con ascensor, puerta de seguridad, citofonia, consta de: una habitacion con closet, un baño, sala comedor, cocina integral, zona de ropas, calentador de paso.

servicios de: agua, luz, gas natural, estrato 4
Área construida: 42mts2.
Valor Venta: $ 150.000.000 negociable

CONTACTO: ",4,,,"$ 150.000.000
                        ",Apartamento,Compra,VENDO APARTAESTUDIO BARRIO LAS NIEVES SOBRE AVENIDA MALDONADO,"Carrera 10 #26-34, Tunja, Boyacá, Colombia"
,,"Atos Inmobiliaria tiene disponible para la venta y arriendo  un local en el centro de la ciudad, ubicado en la Carrera 12. Este local se encuentra en el segundo piso y tiene un área de 40 m2. Ofrece una vista a la calle y cuenta con un baño. Si estás interesado en adquirir o arrendar un espacio comercial en una ubicación céntrica, este local podría ser una excelente opción. Para obtener más detalles y coordinar una visita, te invitamos a ponerte en contacto con Atos Inmobiliaria.",,,1 baño,"$ 220.000.000
                        ",Local comercial,Compra,LOCAL en ARRIENDO/VENTA en Tunja CENTRO,"Boyacá, Tunja, Tunja"
