area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
,,"Atos tiene disponible para arriendo un apartaestudio en el barrio Las Quintas, en una ubicación cercana a la Clínica Cancerológica, la Universidad Santo Tomas y el Centro Comercial Viva. Este apartaestudio es de estreno y consta de una sala comedor, una cocina integral, una zona de ropas con secador de ropa, un baño, una habitación y dos balcones. El área total del apartamento es de 28 m² y se encuentra en el quinto piso. Si estás interesado en este apartaestudio y deseas obtener más detalles o programar una visita, te invitamos a ponerte en contacto con Atos Inmobiliaria. Esta podría ser una excelente opción para quienes buscan un espacio cómodo y bien ubicado en la ciudad.",,,,$ 1.000.000,Apartamento,Arriendo,APARTAESTUDIO en ARRIENDO en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Apartamento Dúplex en Venta o Alquiler en Edificio Gran Reserva, Norte de la CiudadAtos Inmobiliaria te presenta esta increíble oportunidad de adquirir o alquilar un moderno apartamento dúplex en el edificio Gran Reserva, ubicado en una de las zonas más deseadas de la ciudad, cerca del centro comercial Unicentro. Este espacioso apartamento cuenta con dos dormitorios y tres baños, proporcionando comodidad y privacidad para toda la familia.En su interior, encontrarás un diseño contemporáneo con una cocina integral que se integra perfectamente con la zona de comedor y sala de estar, creando un espacio abierto y luminoso. El apartamento también incluye una zona de lavandería independiente. Con un área de 84 metros cuadrados, este apartamento ofrece suficiente espacio para vivir cómodamente.Además, el edificio cuenta con parqueadero, brindando la conveniencia que necesitas. Esta es una oportunidad ideal para aquellos que buscan una residencia moderna",,3 baños,,$ 1.400.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO/VENTA en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
,,"Alquiler de Apartamento en Edificio Juan Ángel, Barrio MesopotamiaAtos Inmobiliaria te presenta una excelente oportunidad de alquiler en el barrio Mesopotamia, al norte de la ciudad. Este acogedor apartamento en el edificio Juan Ángel es perfecto para quienes buscan comodidad y una ubicación conveniente.El apartamento consta de una sala comedor que proporciona un espacio acogedor para la vida diaria. La cocina integral es práctica y funcional, ideal para preparar tus comidas favoritas. También encontrarás una zona de ropas para tu conveniencia.Este apartamento tiene dos habitaciones, lo que lo hace adecuado para parejas o pequeñas familias. El baño está diseñado para brindar comodidad.La ubicación en el barrio Mesopotamia es muy conveniente, y estarás cerca de una variedad de servicios y comodidades en la zona norte de la ciudad.Si estás interesado en este apartamento y deseas obtener más información o programar una visita, te invitamos a ponerte en contacto con Atos Inmobiliaria.",,,,$ 900.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja MESOPOTAMIA,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria te presenta este acogedor apartaestudio disponible para arriendo en el barrio Portales de Mamore, una ubicación privilegiada en el norte de la ciudad de Tunja. Consta de una sala comedor, una cocina semi integral, zona de ropas, una habitación y un baño. Este apartaestudio ofrece un espacio cómodo y funcional para una persona o una pareja que busca un lugar agradable para vivir.Con sus 65.96 metros cuadrados de área, este apartaestudio ofrece suficiente espacio para que te sientas cómodo. La cocina semi integral es perfecta para preparar tus comidas favoritas, y la zona de ropas es muy conveniente. Además, la ubicación en el norte de Tunja te brinda acceso a una amplia gama de servicios locales, comercios y lugares de entretenimiento.Si estás en busca de un lugar acogedor en una zona tranquila de Tunja, este apartaestudio podría ser la elección perfecta para ti. ¡Contáctanos hoy mismo para obtener más información o para programar una visita!",,,,$ 600.000,Apartamento,Arriendo,APARTAESTUDIO en ARRIENDO en Tunja PORTALES DE MAMORE,"Boyacá, Tunja, Tunja"
,Aparcadero,"Espectacular Casa Campestre en Barrio La Villita: Venta o AlquilerAtos Inmobiliaria te presenta una oportunidad única para comprar o alquilar una casa campestre excepcional en el prestigioso barrio La Villita, al norte de la ciudad. Esta propiedad es un verdadero paraíso que combina lujo, comodidad y naturaleza. En un lote de 2,645 metros cuadrados, esta casa de 460 metros cuadrados de construcción se destaca por sus acabados de alta calidad y diseño elegante. En el interior, disfrutarás de amplios espacios, como una sala de estar, comedor principal y auxiliar, así como una cocina integral espaciosa. La casa cuenta con cuatro habitaciones, cada una con su propio baño, ofreciendo privacidad a los residentes. Además, un altillo en el segundo piso brinda espacio adicional para adaptar a tus necesidades. El patio trasero incluye una zona de barbacoa (BBQ) para entretenimiento al aire libre. También, tienes estacionamiento cubierto para dos vehículos en el garaje.",,5 baños,,$ 9.000.000,Casa,Arriendo,CASA CAMPESTRE en ARRIENDO/VENTA en Tunja La Villita,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria tiene disponible para la venta y arriendo  un local en el centro de la ciudad, ubicado en la Carrera 12. Este local se encuentra en el segundo piso y tiene un área de 40 m2. Ofrece una vista a la calle y cuenta con un baño. Si estás interesado en adquirir o arrendar un espacio comercial en una ubicación céntrica, este local podría ser una excelente opción. Para obtener más detalles y coordinar una visita, te invitamos a ponerte en contacto con Atos Inmobiliaria.",,,1 baño,$ 1.400.000,Local comercial,Arriendo,LOCAL en ARRIENDO/VENTA en Tunja CENTRO,"Boyacá, Tunja, Tunja"
,Aparcadero,"Apartaestudio en arriendo en Edificio Gran Reserva, frente a Unicentro: Este acogedor apartaestudio ofrece un espacio bien distribuido con sala y comedor integrados, una cocina integral funcional y una zona de ropas. La habitación es espaciosa y tiene su propio baño, y se incluye un parqueadero. Ideal para quienes buscan comodidad y conveniencia cerca de Unicentro",,,,$ 850.000,Apartamento,Arriendo,APARTAESTUDIO en ARRIENDO en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
45 m²,"Tanque de agua,Agua,Gas natural","ARRIENDO APARTAMENTO EN EL BARRIO SANTA CATALINA AL NORTE DE TUNJA, CERCA A LA AVENIDA NORTE, ENTRADA BARRIO LOS MUISCAS, PARQUES DEL NOGAL, SUPERMERCADOS, DROGUERÍAS

Apartamento en primer piso; consta de: Sala comedor, cocina semi-integral, zona de ropas, ,  dos habitaciones con closet, un baño.pisos en madera laminada.

Servicios de Agua, luz, gas natural estrato 3

Canon de arrendamiento $ 700.000. Incluye el valor de  servicios de agua y gas

CONTACTO: ",3,,,$ 700.000,Apartamento,Arriendo,Arriendo Apartamento Barrio Santa Catalina Tunja,"Calle 67a #9-20, Tunja, Boyacá, Colombia"
,,"Se vende/Arrienda local con excelente ubicación en el centro de la ciudad totalmente enchapado con barra en granito negro, lavaplatos con trampa de grasa, campana extractora industrial, mesa de trabajo todo en acero inoxidable, espacio cubierto con sillas, apto para restaurantes, bares, cuenta con permiso de suelos.",,,2.904 m²,$ 1.200.000,Local comercial,Arriendo,LOCAL en ARRIENDO/VENTA en Tunja CENTRO,"Boyacá, Tunja, Tunja"
,,"ATOS ARRIENDA APARTAESTUDIO EN EL NORTE DE LA CIUDAD, UBICADO CERCA DE LA UNIVERSIDAD DE BOYACÁ Y LA CLÍNICA MEDILASER, EN EL BARRIO SUAMOX. ESTE APARTAESTUDIO TIENE UN ÁREA DE 26 M2 Y CONSTA DE UNA HABITACIÓN CON CLOSET, COCINA SEMI INTEGRAL Y BAÑO. ES IMPORTANTE DESTACAR QUE NO CUENTA CON GAS NATURAL. SI ESTÁS BUSCANDO UN ESPACIO CÓMODO Y BIEN UBICADO EN EL NORTE DE LA CIUDAD, ¡ESTA PUEDE SER LA OPCIÓN PARA TI!",,,,$ 550.000,Apartamento,Arriendo,APARTAESTUDIO en ARRIENDO en Tunja Suamox,"Boyacá, Tunja, Tunja"
